protein	Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
SNF8	0.994399224	1.57463086	2.015957058	1.012807605	1.880318149	0.981976213	0.997049513	1.621933498	1.652687225	1.847519479	1.221994381	NA	NA	2.081876486	1.441840548	1.692269779	1.926611701	2.324375514	1.6163559	1.494614559	1.106182468	1.441211453	1.063490874	NA	2.205325319	1.035044993	1.067049082	1.059172067	NA	NA	NA	1.013253049	0.981976213	1.456937068	1.013253049	2.123335282	1.086753022	0.994399224	1.477608702	2.241485121	1.389833316	1.670931575	1.043208103	1.651778406	NA	1.591672294	1.628730656	2.182182451	0.987841826	1.792425311	1.013253049	1.081019327	NA	1.847519479	NA	1.013253049	1.024195699	NA	NA	1.802706869	2.229715632	1.013253049	1.521390333	0.999425715	1.077541072	1.528542882	NA	0.981976213	NA	2.060760357	NA	1.615533576	1.301956002	1.670375886	0.990268216	1.006732788	NA	1.006732788	1.454695446	1.618520705
SNRNP200	5.370572524	5.486014839	4.83891185	4.919370363	5.220013007	5.223576107	5.276395922	5.01329585	5.297159195	5.738005177	5.408575095	5.161429194	4.981389943	5.865605382	5.650441237	5.586704313	5.393034273	4.564997121	5.324036607	5.271037174	3.712509673	5.161534884	4.983248107	4.429751863	5.25151207	5.182584187	4.814465178	4.036265392	4.82946453	5.136562974	5.26164066	5.690394003	5.465124917	5.524035088	5.344337824	5.493823518	5.13900311	5.710894896	5.229276501	5.218618647	5.324258718	5.554483788	5.141967019	5.210920987	4.11699019	5.396701089	5.423109345	5.522759246	5.167199491	5.04283378	5.435282277	4.600629958	4.84001351	5.21507602	4.829901432	5.693161455	5.363503973	5.045199632	5.220084059	5.186238336	5.476281993	5.102477035	5.845993297	5.151983312	4.948032866	5.634793113	3.610852968	5.878542691	4.78824274	5.424582232	4.722454805	5.314551569	5.837322722	1.302063129	5.245347013	5.406897762	5.413342761	5.532049697	5.70724402	5.376432713
SNRNP40	2.921826374	3.34598287	2.930547522	1.995908355	1.898506889	2.320484703	2.8839771	2.613160724	2.788160227	3.482734007	2.276214983	1.192240387	1.037101168	2.467196014	2.942583786	2.554650825	3.184022572	NA	2.081188074	1.066484677	1.176314125	1.476498457	1.000009363	NA	1.763822474	1.644013055	2.627734221	NA	NA	2.764035404	NA	2.687857766	2.758822807	1.847668488	1.437146086	2.071551003	1.88320199	2.378034202	2.562494376	1.525768262	3.045672575	1.664704676	2.189846589	1.661852513	NA	2.39785072	2.881151797	1.464925953	1.512161614	NA	3.207315209	NA	NA	3.524476471	1.065579492	2.176512579	1.501186994	2.405272382	1.901904795	1.437089315	1.936064871	2.131278108	1.941982937	2.568848657	1.764031838	2.350417857	NA	3.134552259	NA	NA	NA	1.603131927	2.628856431	NA	1.878418822	3.262512676	2.660024973	1.085442321	1.868218724	3.002352999
SNRNP70	3.579105659	4.122176839	3.720812964	3.104993203	3.69144002	3.502323001	2.868000695	2.896416186	3.684919275	3.395199457	3.326670153	3.789043521	2.6769297	3.088363872	2.972221399	3.140381336	3.021001353	3.184139266	3.624192738	3.347469805	2.382646927	2.710874171	3.016371762	NA	3.182532293	3.671825572	3.746917311	2.57360687	3.683182467	3.143624026	3.668200082	2.329584142	3.652337608	3.397709129	3.512610426	3.351636472	2.754692519	2.221816276	3.332675765	2.908786948	3.943965287	3.163036895	3.616016148	3.43684807	2.91104325	3.614079531	2.913613042	3.336904119	3.045114528	3.035500505	3.684538487	3.025147137	1.891188861	3.543932439	2.654432066	4.14586598	2.810049672	3.527220569	3.181001799	3.607047657	3.291458338	2.083214746	2.898421469	3.275645595	2.557804212	3.333584059	3.039561918	3.943026645	2.602612366	3.482107389	3.387136397	2.645607982	3.665015771	2.083211598	2.806683573	3.754870854	2.918696659	2.911326248	2.90206399	3.74215967
SNRPA	1.555552062	2.072973429	2.654449297	2.660247571	2.776649213	2.662765166	2.710060244	2.856871171	2.006841752	1.242213293	1.982948513	1.518902524	1.345422612	2.246794856	2.20724656	1.597205448	2.326109122	1.385541331	1.964153977	1.824489371	1.915234127	2.544226015	1.303366735	0.825741873	2.132296633	2.006420747	1.307690847	1.817494938	1.37439294	2.080898578	1.307690847	2.1202246	2.213852749	1.757951759	2.939906919	2.984497794	1.935233853	2.359230804	2.174113303	2.211735213	2.769042977	2.536278426	1.438093121	1.316515697	NA	3.116892519	1.978703237	1.995380745	2.168436241	2.170264225	2.017387312	1.324658952	NA	2.622147075	1.377553038	3.333715239	1.854690844	2.789747504	1.37439294	2.96991874	2.693794333	1.242213293	2.353772652	1.958925115	1.320435678	1.86062485	1.529038523	2.254383751	2.213949766	2.014899731	1.49916941	1.963186807	2.056895424	NA	2.647432715	2.727375029	1.499061867	2.181414202	1.243964877	2.092790597
SNRPA1	2.745016131	3.823118224	3.27043167	3.043501845	4.047635036	3.465525683	2.677177168	3.124437689	2.659602122	2.875819095	3.434163125	3.785870561	3.294547053	3.434383068	3.192548167	3.778982875	3.567745711	2.953071189	3.786015375	3.55214914	2.707364481	3.561404892	3.502340874	1.899043546	2.782244601	3.5209456	4.185223507	2.598021524	3.434449016	3.218017983	3.132944839	4.171095598	4.22640107	4.032575997	3.160216074	3.39758591	3.882146221	3.437570208	3.506389593	3.598787211	3.818567164	3.916119146	3.46926827	3.897472151	2.431062193	4.129026608	3.131928266	4.172498872	3.232559456	2.531798281	3.097858145	2.823008918	2.691625393	3.564910034	3.001371322	3.746789758	3.934718587	3.671284058	3.262126753	3.279289392	3.537095704	4.008810878	3.838936783	2.878537965	2.829022227	3.442333237	3.095307476	3.324581199	3.371305724	3.43416196	3.217945832	3.701377846	3.821617989	3.609075469	3.426763406	3.584739692	3.283768699	3.740954983	3.373910673	3.860091639
SNRPB	3.442193625	3.357741535	3.570459427	3.4446431	2.566873187	2.921654704	3.341999176	2.737138482	3.125158398	3.116009886	2.887272789	3.173968528	3.819659607	3.236238841	2.049777135	3.407361092	2.703521481	2.12412793	3.895149066	3.933063516	2.072103256	3.111475773	3.281782977	NA	3.939324968	3.669592393	3.065915319	2.512587795	2.527095575	2.234653497	3.764301249	2.837071991	2.762318793	2.919686623	2.969491223	3.376427002	2.094892122	3.341057875	2.997443252	3.026721858	2.911254069	3.43027613	2.549884336	3.378446864	1.60177169	3.282891442	3.177522097	3.305809729	2.714629307	3.076450691	3.034549593	2.788189325	2.126080403	3.441984598	2.566722707	3.253830274	3.280493874	2.941665068	2.93044227	3.051831542	3.177029815	2.877209008	3.374152439	2.774597246	3.295322652	3.602528724	3.305286114	3.603156703	3.131992407	3.192867418	2.281996917	2.904618626	4.332473994	2.326030102	3.64221046	2.813625462	2.811723434	3.700721867	3.369154426	3.40312699
SNRPB2	NA	2.264780545	1.44052909	0.962513738	2.080454041	2.130039405	2.000621244	2.044209001	1.326182971	1.073567075	1.792132763	NA	1.171566037	1.232132802	1.570489163	1.413825469	NA	1.20987672	1.773532294	1.733718394	1.041417818	0.936364865	NA	NA	NA	NA	2.442440156	1.637483052	1.199219001	1.439922176	1.135643678	1.464245289	1.36356866	2.191239883	1.073567075	1.637483052	1.025032268	0.946907384	1.700524811	1.368520615	1.27919767	1.837025701	0.98824827	NA	1.014642209	1.090365945	1.329373762	1.654036849	1.355679494	NA	1.826255608	NA	1.212302312	2.042347847	NA	2.681129099	NA	1.210852922	NA	0.936364865	1.977884363	NA	0.945458072	0.951170582	1.147765309	1.086183288	1.34782549	0.936364865	1.179631772	1.823789153	1.318997986	1.098697491	1.834675858	1.102846497	1.703868835	1.882414513	NA	1.505808961	1.075223244	2.284543498
SNRPC	2.233241511	1.782104719	2.127176976	1.57925207	NA	2.139962953	2.192113499	2.342516725	1.558018073	1.257184224	1.54480725	1.572067311	NA	1.40427599	1.257184224	1.257184224	1.257184224	1.419842722	2.083873589	2.293303462	1.831667647	1.697970326	NA	1.375131831	NA	1.287227566	1.331352368	1.424573998	1.40715206	1.692567526	NA	1.257184224	1.512945585	1.45643913	1.257184224	1.842084733	NA	1.713581799	1.703757596	1.50006729	1.65866211	1.292185374	0.869317351	1.858411753	1.468897702	1.277269883	1.561800519	2.106966849	2.053083143	NA	1.355394879	NA	1.422730326	1.257184224	1.410748726	2.33512403	2.505903448	3.036315157	NA	1.946087668	2.197850578	NA	1.211034247	1.8699138	1.345817457	1.272269864	1.58366483	2.128145796	NA	1.302059281	1.549499165	1.287227566	1.380073992	NA	1.871463819	1.883402552	NA	1.607542494	NA	1.808011349
SNRPD1	3.297972698	3.814780767	2.982702832	2.849323501	3.398185344	3.328737016	3.691237419	3.082385831	3.073298162	3.063891497	2.391284882	3.866407697	2.490022271	3.087141235	2.567154773	2.11978284	2.853369386	2.837991099	2.574973207	2.752956685	2.923201925	2.667267322	2.722048958	0.94140879	3.407612289	3.63391581	3.260778493	2.59828522	2.459804151	3.210692228	3.51933087	4.026219796	2.266464136	2.848900632	3.129739545	3.082385831	3.006990361	2.66072401	3.464233787	3.207571877	2.981759988	4.098171302	2.855556963	2.842876804	2.457075274	3.730065888	3.127149842	2.260531082	2.629693384	2.756363726	2.650790185	2.384523794	3.197565918	4.029277646	2.855951351	2.815041809	3.233096321	3.160352371	2.510232243	3.475316271	3.132494791	3.035912248	2.857468263	3.158675554	1.904613064	2.461143254	2.293651275	3.386473363	3.08032537	3.719101191	2.7343819	2.185109444	3.28151189	1.126005765	3.284514762	3.682738476	3.645695664	3.551601477	2.656021143	2.934586697
SNRPD2	2.625855559	3.279441566	3.120575868	3.1836663	3.416212405	3.9306871	3.69106007	2.879221966	3.124789309	2.758424724	2.879975238	3.014849208	3.671628724	3.717619065	3.58462855	2.675626007	3.300389115	3.379220024	3.3506565	3.67680082	2.943332072	4.259339336	3.47799909	2.79938462	3.231531751	2.8385093	3.262504789	2.456926732	3.343515829	3.102832528	3.02304262	3.228889095	3.178109166	3.183666691	2.911465949	3.431426796	2.675844926	3.527493739	3.558358017	2.884771133	4.087672346	3.429286587	3.151531047	3.452423218	2.111411029	3.820490107	2.329094807	3.775696473	3.585546881	3.273035585	2.909432611	2.647289188	3.152723435	3.099286501	2.301272765	3.909908675	2.350717301	3.82911794	3.12695357	4.000113724	4.132875882	2.808469364	3.240268094	3.171638694	3.491496862	3.62487118	3.501428181	3.410503708	3.057056427	2.489924144	2.991321219	3.327768762	3.741119054	1.361404678	3.222422253	3.492192604	1.576358352	3.12418285	3.362280113	3.33168616
SNRPD3	2.31084056	3.131199031	2.870279862	2.710012438	2.192508908	3.020741995	2.803274697	2.668305994	1.964729513	2.822151377	1.944177053	2.397543864	2.613130429	2.839751737	3.3880271	1.610226023	3.123301366	2.206916347	3.371842477	2.807505189	2.542269924	2.726108258	2.482668032	2.267953567	3.444812056	1.321023523	2.043239239	1.334648994	1.414697527	2.939542445	2.06210466	3.056772747	2.296074954	2.309321069	1.774239914	2.990511343	1.419088585	2.484821824	2.452293356	2.489309767	2.47809265	3.014337993	3.294172972	2.221943218	1.905002977	2.311069118	2.221576765	2.973673879	2.967690046	2.542809857	2.759834918	NA	NA	2.491063173	1.41748908	2.909184671	2.582624525	3.221804045	1.414697527	2.742059996	2.62376093	2.396984068	3.406209118	2.488066504	1.366938279	2.58671503	1.550663806	2.708768683	2.142429817	1.332675313	1.524498381	2.672002558	2.503367471	NA	2.375476896	2.965783859	2.355893779	2.726108258	2.500157304	2.608755878
SNRPE	1.90870321	2.356789062	1.073098994	1.928857197	1.502503748	2.488483631	2.559591602	1.710342855	1.619414147	NA	1.367735858	NA	2.2849052	2.15268024	1.367735858	1.704634404	1.658320924	NA	2.501282624	2.376730822	1.374957993	2.821180623	NA	2.770106033	2.200880603	1.393236672	NA	1.960302856	1.494155108	1.729833237	NA	2.189788267	1.875287291	1.873723697	1.880953424	2.308903368	2.134357489	2.583284211	2.555502738	1.365612491	2.2745977	2.919955246	1.965356584	2.050529834	1.77354296	NA	1.367735858	2.133787201	2.418516259	1.450763132	1.811759412	NA	1.507170586	1.367735858	NA	1.82571382	2.381934044	1.505729996	2.332631306	2.641997872	2.25201518	2.189788267	3.339979401	2.283328969	2.20108174	3.450229782	1.640546951	1.971534682	NA	1.405791689	NA	2.04512761	1.938272603	1.397435912	2.184797511	2.113504955	NA	2.816525239	1.869015012	0.614269394
SNRPF	1.785589541	1.815519555	2.172801335	2.290937873	NA	2.638916595	2.3885186	1.583211069	1.237944007	NA	1.237944007	NA	1.350390587	2.166944172	1.237944007	NA	2.089574317	NA	NA	2.49187559	NA	1.482019053	NA	NA	1.327729602	NA	NA	1.445446983	NA	NA	1.309224974	1.237944007	1.944327733	0.82699189	1.237944007	2.513744874	0.90452364	2.409839746	2.485738449	1.523558611	2.415044966	2.665489198	1.773502624	0.84533978	1.491305131	1.257251652	1.237944007	2.151878509	2.377776815	2.259711079	NA	1.327729602	1.396999044	1.237944007	2.377244507	1.237944007	1.252445592	1.395342064	1.382038288	2.142668863	2.659815982	1.237944007	2.685110022	1.906438834	1.323122702	2.885141056	1.551497954	1.435720071	1.359625223	2.087629971	1.51870567	2.030396583	2.281430506	1.271587465	2.528857292	1.356619309	1.518587651	1.634795662	1.820364262	1.598959368
SNRPG	2.449839822	2.85404175	2.694562175	1.487401751	1.513382055	2.479183987	2.614922634	1.881991495	1.643397889	2.400379303	2.494243362	1.656303922	2.38954593	2.338678113	3.029860939	2.213267861	2.175367933	1.515885831	2.120942287	2.870504661	2.228495252	2.026371664	1.42902637	1.269762997	1.451558317	1.392368732	1.433603742	2.582263728	1.504117446	1.364208154	2.282537637	1.792778206	2.343177037	2.055990512	1.935727871	2.448131768	0.780290526	2.441532372	2.544061365	1.64757949	2.008279674	2.187373946	1.918781038	1.194816734	2.007554535	2.582366406	2.474637868	1.33733352	2.543207972	1.456012218	2.913660438	1.451558317	2.459202607	1.89113512	NA	2.733042009	2.00724288	1.516963033	2.443259215	2.376284549	2.400383608	NA	1.439359555	2.353638667	2.855968297	2.504035243	NA	2.45693038	1.482450321	2.654003775	1.635567191	2.119939041	2.550802359	2.186699025	2.654790532	3.101784432	2.636298086	2.19140575	1.366066898	2.119192705
SNTB1	NA	NA	NA	1.044089754	1.087811896	NA	NA	NA	1.555222733	2.767008178	1.537108873	1.188670588	1.720588747	2.009047572	NA	1.247048255	1.562668387	1.770742616	0.996571161	NA	NA	2.520126077	2.020354367	NA	2.554151413	1.003077216	1.624677234	NA	1.081303772	2.74995865	1.031884717	0.983441433	1.632982537	1.590549462	1.749033596	NA	NA	1.021847037	NA	1.011867019	NA	2.512094908	1.080918837	NA	NA	1.864526538	0.983441433	1.006862478	NA	1.679602655	2.115579975	1.652461253	NA	2.028017689	1.7607729	1.343918911	1.440177867	NA	1.760518964	NA	NA	1.942348266	2.236329627	NA	NA	2.362784598	NA	1.006862478	1.712996847	1.012764212	1.173982305	1.522140732	NA	1.006315764	1.016861867	NA	1.17390228	1.036744591	1.73374701	NA
SNTB2	3.368167094	2.489162831	1.769698527	3.724063125	NA	2.013836073	1.755023938	1.808087569	2.717933794	3.0162668	3.049589509	1.932164091	2.529816024	2.93579657	1.668003937	2.08209334	2.504502458	3.249063295	3.766056075	1.680739017	1.284841105	1.155224595	2.019795414	2.327628548	2.365993889	2.72097351	2.658690113	NA	0.982714463	2.325333718	NA	1.593830975	2.125933182	1.642854143	3.606490839	2.933396853	2.578374467	2.397502976	1.663651403	2.108332554	1.155224595	1.516025506	1.21934276	3.417531104	3.910892253	0.893376718	2.930494073	2.648040268	1.16138612	2.894645407	1.738422333	2.382754769	1.740276965	2.286865938	2.506999849	2.246134116	2.123489751	NA	2.174594521	1.155224595	1.155224595	1.593830975	2.155277471	NA	0.940426274	1.375879157	1.968668383	2.752919481	3.137790197	1.904577528	1.889230182	3.27898277	1.485943068	2.259248693	2.366853648	2.293488168	1.081491384	2.254582377	2.314258485	1.172592525
SNU13	3.26951816	3.712338801	3.18639461	3.056895336	3.512560268	2.914258689	2.254938203	2.68690657	3.692943929	3.161910425	3.568580269	1.381382959	3.137226337	2.708199196	3.652768982	3.753512543	2.993418836	3.069698661	3.890781559	3.540528534	2.748620549	3.552197996	3.357494605	4.246356613	3.137928478	3.390941279	3.60437019	3.187113287	3.653600427	3.642766454	2.725942172	2.92432579	3.182652027	3.940559356	3.39143897	3.021501886	3.652461543	2.883525629	3.482864245	3.404643135	3.677085007	3.97699008	4.440687443	3.248746603	2.925716683	3.498447599	3.457326388	4.325681812	2.840900754	2.966975438	3.465846573	3.17402647	3.557117699	2.986024962	3.364618676	4.464798146	3.76215099	3.506857193	3.105108438	3.772405506	3.718687484	4.031123933	3.793669054	3.080576797	3.532497737	3.746276122	3.492600621	3.495086816	3.232918801	3.6207746	3.029828855	3.207969186	3.487441308	2.567805694	3.276348723	3.454899964	3.069624124	3.549700803	3.69535199	3.568296831
SNW1	1.937122309	1.973763387	2.004654071	NA	1.129021085	2.782923291	1.955763934	1.008385464	2.682629663	2.107090794	2.225336301	2.096053684	1.097643825	2.069645138	1.829658496	2.474242569	1.012182342	1.900940862	2.050535812	1.92595605	NA	1.860422355	NA	1.032532899	NA	2.403470819	2.201248043	1.060268864	1.121719987	2.661110045	1.754340196	1.754340196	2.242729181	1.855629524	2.204214528	2.56985182	1.8959745	2.207712168	1.886573197	1.9156085	2.132819846	2.116959991	2.861105407	1.008385464	NA	1.026849191	2.201963867	1.831410541	0.989689091	1.083904672	2.291731573	1.76684759	1.133105886	2.45011621	1.124348548	3.003330199	1.526380066	1.131844693	1.121719987	1.393843278	2.673177871	2.095477503	3.097747657	2.419913611	2.241846664	1.531442673	1.250887606	2.377279344	2.269222076	1.044951237	NA	NA	1.75043921	NA	1.501944425	1.008385464	NA	2.062954837	NA	2.336065928
SNX1	3.377242546	2.057907298	2.28166119	2.791949293	2.664112888	3.187872752	2.580364078	3.149466467	1.55238766	3.184505636	3.15971143	2.435035684	3.3134694	3.263104248	3.139444202	2.805423383	2.990754232	2.66919436	2.986651788	3.528108303	1.863936736	3.668407176	3.528128106	2.798400566	2.104088326	2.736597153	3.580045988	2.929202467	3.213774282	2.819082141	2.910871355	3.105394634	2.61822499	2.24530694	3.045999908	3.303419833	2.253463953	3.488066424	3.126423079	3.159462853	3.075124171	3.48097467	2.383702871	3.157640668	2.654196649	1.330292595	2.255926335	3.505934446	3.218870797	2.137234868	2.455893602	2.106186358	3.033403248	3.33840573	2.993134949	2.742598644	3.143153787	2.234122896	3.009049855	3.455998903	2.692622121	3.158794845	3.573692732	3.116533807	2.10427954	3.479977627	3.363150549	3.373505509	2.943005082	3.019412433	3.208586825	2.714249084	3.018731349	2.755290841	2.901152146	1.936391824	2.392648491	2.826901113	2.808410136	2.91482918
SNX12	2.697267131	1.892991081	2.262998202	3.235578624	2.990751358	1.73290388	NA	1.914982729	3.462066772	3.414679995	2.867185094	NA	1.90138917	3.199758081	1.080057186	3.409681978	2.5014505	2.955514899	2.693680271	1.842843158	1.000787561	2.116937025	2.231776353	2.064605047	1.823975147	2.903674169	3.074038663	2.511512449	2.92153509	2.866264222	2.280523894	2.976910909	2.683063057	3.077014154	3.2722177	0.878626592	2.334334356	2.408165996	2.125265998	3.060932022	2.857413518	1.736233063	3.08455075	3.070193437	2.302151977	1.094780654	2.950535611	2.703343095	2.626423201	2.292143248	2.510997741	2.581457368	1.958640966	3.047073713	2.37239418	2.185370742	2.332177486	1.199844539	1.945521402	2.017559666	2.147519031	2.866264222	2.275888908	3.259890677	1.1449446	1.995581782	NA	2.733542469	2.907280992	2.46025616	2.104683643	3.908743562	2.486978422	3.146494658	2.569152423	0.902864753	2.603713086	2.642616462	1.522089618	2.531906072
SNX17	2.618288824	NA	1.027485312	1.044776117	NA	2.454393631	1.025706904	NA	2.073517496	1.952114627	2.249242091	NA	NA	1.007498098	1.367134461	1.590140552	2.922253661	NA	1.522582358	NA	NA	1.57241151	1.613045237	1.066996908	2.324319124	1.554598766	2.035173787	NA	2.113903001	1.864085136	NA	1.641084314	NA	NA	2.037791175	1.007498098	NA	1.661110386	1.617778879	NA	NA	1.006239203	1.081655799	NA	2.744917623	2.152473609	0.983373537	1.556136859	1.62268788	1.047475352	1.047475352	1.044357803	1.771995531	1.356127123	1.083540481	0.983373537	1.80149809	1.090219188	1.081198138	NA	1.347053488	1.941872282	1.02043826	2.818903297	NA	0.993231908	1.196066999	1.508496299	1.712622636	1.561028221	1.173839523	1.003001888	NA	1.006239203	1.017511074	NA	NA	1.037420908	1.733363618	1.793825929
SNX18	1.04272874	1.599154856	1.046735145	2.314370345	1.093340692	1.030645081	1.969363622	1.054716067	1.197992428	1.536376344	1.611049249	NA	NA	2.358367905	0.975183356	1.275446843	1.640787383	1.095341606	1.594495145	1.523130609	NA	1.878239507	2.544479428	NA	2.532390521	1.631750776	NA	NA	NA	1.697634424	1.02988915	0.975183356	NA	1.487271926	2.733931236	1.030645081	NA	1.04272874	1.506950747	NA	1.423301452	1.651027217	1.090114819	NA	1.120367857	0.989985575	2.194285228	2.172314314	1.036351654	1.77707225	1.883507087	2.211810219	1.097481047	NA	1.871856936	1.787463837	1.919939935	NA	1.87156022	1.030645081	1.298746969	1.317806671	1.041067543	1.047615235	1.040574168	0.986299931	2.122663627	1.423324267	2.263836663	NA	NA	2.016448211	NA	NA	NA	NA	NA	NA	0.976642623	1.046735145
